# name,mass,radius,orbital_period,temp_calculated,temp_measured,molecules,star_distance
Kepler-7 b,0.433,1.614,4.885525,1586,,,
Kepler-70  b,0.014,0.068,0.2401,,,,1180
Kepler-70 c,0.0021,0.078,0.34289,,,,1180
Kepler-71 b,,1.0452,3.905081,,,,
Kepler-74 b,0.68,1.32,7.340718,,,,1330
Kepler-75 b,9.9,1.03,8.884924,,,,1140
Kepler-76 b,1.96,1.25,1.54492875,,,,
Kepler-77 b,0.43,0.96,3.5787087,,,,570
Kepler-78 b,0.005317308,0.1070570204,0.35500745,2330,,,
Kepler-79 b,0.034285,0.309568,13.4845,868,,,
Kepler-79 c,0.018558,0.332,27.4029,685,,,
Kepler-79 d,0.018872,0.64,52.0902,553,,,
Kepler-79 e,0.0129,0.312,81.0659,477,,,
Kepler-8 b,0.603,1.419,3.52254,1638,,,1330
Kepler-80 b,,0.21,7.05,,,,
Kepler-80 c,,0.23,9.52,,,,
Kepler-80 d,,0.125,3.07,,,,
Kepler-80 e,,0.134,4.64,,,,
Kepler-80 f,,0.116,0.99,,,,
Kepler-81 b,,0.2269,5.954893,646,,,
Kepler-81 c,,0.2188,12.039901,513,,,
Kepler-81 d,,0.108,20.837846,,,,
Kepler-82 b,,0.3573,26.44288,581,,,
Kepler-82 c,,0.4734,51.53005,464,,,
Kepler-82 d,,0.158,2.382961,,,,
Kepler-82 e,,0.22,5.902206,,,,
Kepler-83 b,,0.209,9.770513,,,,
Kepler-83 c,,0.1733,20.08976,,,,
Kepler-83 d,,0.173,5.169796,,,,
Kepler-84 b,,0.1965,8.725854,937,,,
Kepler-84 c,,0.2144,12.882525,821,,,
Kepler-84 d,,0.123,4.224537,,,,
Kepler-84 e,,0.232,27.434389,,,,
Kepler-84 f,,0.196,44.552169,,,,
Kepler-85 b,0.0465,0.178,8.305992,,,,
Kepler-85 c,0.059,0.197,12.51217,,,,
Kepler-85 d,,0.107,17.91323,,,,
Kepler-85 e,,0.113,25.216751,,,,
Kepler-86 b,,0.905,282.5255,281,,,
Kepler-87 b,1.02,1.21,114.73709,478.1,,,
Kepler-87 c,0.0201,0.549,192.363,403.3,,,
Kepler-88 b,0.027373124,0.3372296141,10.95416,,,,385
Kepler-88 c,0.625491615,,22.3395,,,,385
Kepler-89 b,0.033,0.153,3.7432451,,,,
Kepler-89 c,0.049,0.386,10.423707,,,,
Kepler-89 d,0.164,0.98,22.3430004,,,,
Kepler-89 e,0.041,0.55,54.319931,,,,
Kepler-9 b,0.1418997577,0.9902774383,19.22418,,,,
Kepler-9 c,0.0975364188,0.9545917648,39.03106,,,,
Kepler-9 d,0.0165182645,0.1784283673,1.592851,,,,
Kepler-90 b,,0.117,7.008151,1056,,,
Kepler-90 c,,0.106,8.719375,981,,,
Kepler-90 d,,0.257,59.73667,518,,,
Kepler-90 e,,0.238,91.93913,448,,,
Kepler-90 f,,0.258,124.9144,592,,,
Kepler-90 g,,0.725,210.60697,340,,,
Kepler-90 h,,1.01,331.60059,292,,,
Kepler-91 b,0.73,1.384,6.24658,,,,1030
Kepler-92 b,0.189,0.326,13.748933,,,,448.57
Kepler-92 c,0.0179,0.219,26.72311,,,,448.57
Kepler-92 d,,0.1844,49.3568,,,,448.57
Kepler-93 b,0.0126,0.1323046343,4.72673978,1037,,,
Kepler-94 b,0.03411,0.313,2.50806,,,,
Kepler-94 c,9.836,,820,,,,
Kepler-95 b,0.041,0.305,11.5231,,,,
Kepler-96 b,0.027,0.238,16.2385,,,,
LKCA 15 b,6,,40000,,,,145
MOA-2007-BLG-192-L b,0.01,,,,,,700
MOA-2007-BLG-197L b,41,,,,,,4170
MOA-2007-BLG-400-L b,0.9,,,,,,6000
MOA-2008-BLG-310-L b,0.23,,,,,,6000
MOA-2008-BLG-379L b,4.1,,,,,,3600
MOA-2009-BLG-266L b,0.0327,,2780,,,,3040
MOA-2009-BLG-319 b,0.157,,,,,,6100
MOA-2009-BLG-387L b,2.6,,1970,,,,5700
MOA-2010-BLG-328L b,0.029,,,,,,810
MOA-2010-BLG-353L b,0.27,,,,,,6430
MOA-2010-BLG-477L b,1.5,,,,,,2300
MOA-2011-BLG-028L b,0.094,,,,,,7380
MOA-2011-BLG-262L b,0.0566340496,,,,,,7350
MOA-2011-BLG-274 b,0.8,,,,,,800
MOA-2011-BLG-293L b,4.8,,,,,,7700
MOA-2011-BLG-322L b,7.8,,,,,,7740
MOA-2013-BLG-220L b,0.1887801655,,,,,,2000
MOA-2013-BLG-605L b,0.066,,,,,,3600
MOA-bin-1 b,3.7,,,,,,5100
NGC 2423 3 b,10.6,,714.3,,,,766
NGC 4349 No 127 b,19.8,,677.8,,,,2176
NLTT 41135,33.7,1.13,2.889475,,,,22.7
NN Ser (ab) c,6.91,,5660,,,,500
NN Ser (ab) d,2.28,,2830,,,,500
NY Vir b,2.78,,2987.745,,,,
NY Vir c,4.49,,9861.75,,,,
OGLE-05-071L b,3.5,,3600,,,,3300
OGLE-05-169L b,0.0444,,,,,,4100
OGLE-05-390L b,0.017,,3500,,,,6500
OGLE-06-109L b,0.727,,1790,,,,1510
OGLE-06-109L c,0.271,,4931,,,,1510
OGLE-2007-BLG-368L b,0.0694,,,,,,5900
OGLE-2008-BLG-092L b,0.137,,,,,,7000
OGLE-2008-BLG-355L b,4.6,,,,,,6800
OGLE-2009-BLG-151 MOA-2009-232 b,7.5,,,,,,390
OGLE-2011-BLG-0251 b,0.96,,,,,,4090
OGLE-2011-BLG-0265L b,0.88,,,,,,4380
OGLE-2011-BLG-0420 b,9.4,,,,,,1990
OGLE-2012-BLG-0026L b,0.11,,,,,,4080
OGLE-2012-BLG-0026L c,0.68,,,,,,4080
OGLE-2012-BLG-0358L b,1.85,,,,,,1760
OGLE-2012-BLG-0406L b,2.73,,,,,,4970
OGLE-2012-BLG-0563L b,0.39,,,,,,1300
OGLE-2013-BLG-0102L b,13.6,,,,,,3020
OGLE-2013-BLG-0341L b,0.0052229179,,,,,,911
OGLE-2013-BLG-0723LB b,0.0022,,,,,,490
OGLE-2014-BLG-0124L b,0.5,,,,,,4100
OGLE-2015-BLG-0966 b,0.066,,,,,,2900
OGLE-TR-10 b,0.68,1.72,3.10129,,,,1500
OGLE-TR-111 b,0.54,1.077,4.01451,,,,1500
OGLE-TR-113 b,1.24,1.11,1.4324772,,,,1500
OGLE-TR-132 b,1.17,1.23,1.689868,,,,1500
OGLE-TR-182 b,1.06,1.47,3.9791,,,,
OGLE-TR-211 b,0.75,1.26,3.67724,,,,
OGLE-TR-56 b,1.3,1.2,1.211909,,,,1500
OGLE2-TR-L9 b,4.34,1.614,2.4855335,,,,900
OGLE235-MOA53 b,2.6,,,,,,5200
OY Car b,8.48,,,,,,
Oph 11 b,21,,730000,,,,145
PH1-Kepler-64 b,0.53,0.553,138.506,,,,
POTS-1 b,2.31,0.941,3.1606296,,,,
PSR 1257 12 b,0.00007,,25.262,,,,710
PSR 1257 12 c,0.013,,66.5419,,,,710
PSR 1257 12 d,0.012,,98.2114,,,,710
PSR 1719-14 b,1,0.4,0.090706293,,,,1200
PSR B1620-26 b,2.5,,36525,,,,3800
PSR B1957+20 b,22,,9.1,,,,1.53
PSR J1807-2459 A b,9.4,,0.07,,,,2790
PSR J2051-0827 b,28.3,,0.099110266,,,,1280
PSR J2241-5236 b,12,,0.1456722395,,,,500
PZ Tel b,62,,,,2987,,51.49
Pr0201 c,0.54,,4.4264,,,,
Pr0211 b,1.844,,2.1451,,,,
Qatar-1 b,1.09,1.164,1.4200246,,,,
Qatar-2 b,2.487,1.144,1.3371182,,,,
ROXs 12 b,16,,,,,,120
ROXs 42B b,9,2.5,,,1975,"CO, H2O, K",135
RR Cae b,4.2,,4350,,,,
Ross 458(AB) c,11.3,1.07,,,670,"CH4, H2O, K, H2",11.7
SAND364 b,1.54,,121.71,,,,
SR 12 AB c,13,,,,,,125
SWEEPS-04 ,3.8,0.81,4.2,,,,8500
SWEEPS-11 ,9.7,1.13,1.796,,,,8500
TWA 5 A(AB) b,25,,,,,,25
TYC+1422-614-1 b,2.51,,198.44,,,,759
TYC+1422-614-1 c,10.1,,569.2,,,,759
TrES-1 ,0.761,1.099,3.0300722,,,,157
TrES-2 ,1.253,1.189,2.4706133738,1455,,,220
TrES-3 ,1.91,1.305,1.30618608,,,,
TrES-4 ,0.917,1.706,3.5539268,,,,479
TrES-5 ,1.778,1.209,1.4822446,,,,360
USco1602-2401 b,47,,,2790,,,
USco1610-1913 b,20,,,2400,,,
USco1612-1800 b,26,,,2550,,,
UScoCTIO 108 b,14,,,,,,145
UZ For(ab) d,7.7,,1900,,,,
V391 Peg b,3.2,,1170,,,,1400
VHS 1256-1257 b,11.2,,,,880,,12.7
WASP-1 b,0.86,1.484,2.5199464,,,,
WASP-10 b,3.16,1.08,3.0927616,,,,90
WASP-100 b,2.03,1.69,2.849375,2190,,,
WASP-101 b,0.5,1.41,3.585722,1560,,,
WASP-103 b,1.49,1.528,0.925542,2508,,,470
WASP-104 b,1.272,1.137,1.7554137,1516,,,143
WASP-106 b,1.925,1.085,9.289715,1140,,,283
WASP-108 b,1.167,1.215,2.6755463,1590,,,220
WASP-109 b,0.91,1.443,3.3190233,1695,,,330
WASP-11-HAT-P-10 b,0.46,1.045,3.722469,,,,125
WASP-110 b,0.515,1.238,3.7783977,1134,,,320
WASP-111 b,1.83,1.442,2.310965,2140,,,210
WASP-112 b,0.88,1.191,3.0353992,1395,,,450
WASP-117 b,0.2755,1.021,10.02165,1024,,,
WASP-12 b,1.404,1.736,1.0914222,,,"CO, CH4, CH4, CO, H2O, TiO, VO, HCN, H2, O I, C",427
WASP-120 b,5.01,1.515,3.6112706,1890,50,,
WASP-121 b,1.183,1.865,1.2749255,,,,270
WASP-122 b,1.372,1.792,1.7100567,1960,50,,
WASP-123 b,0.92,1.327,2.977641,1510,,,
WASP-13 b,0.485,1.365,4.353011,,,,156
WASP-135 b,1.9,1.3,1.4013794,,,,300
WASP-14 b,7.341,1.281,2.2437661,,,,160
WASP-15 b,0.542,1.428,3.7520656,,,,308
WASP-16 b,0.855,1.008,3.1186009,,,,
WASP-17 b,0.486,1.991,3.735438,,,"Na, Na, O I, C",
WASP-18 b,10.43,1.165,0.9414518,,,,100
WASP-19 b,1.114,1.395,0.78884,2077,,"O I, C",
WASP-2 b,0.847,1.079,2.15222144,,,,144
WASP-20 b,0.313,1.459,4.8996285,1379,,,210
WASP-21 b,0.3,1.21,4.3225126,,,,230
WASP-22 b,0.617,1.199,3.5327313,,,,300
WASP-23 b,0.884,0.962,2.9444256,,,,
WASP-24 b,1.071,1.3,2.3412127,,,,330
WASP-25 b,0.58,1.26,3.76483,,,,169
WASP-26 b,1.028,1.281,2.7566004,,,,250
WASP-28 b,0.907,1.213,3.40883,1468,,,410
WASP-29 b,0.2428971463,0.8412897516,3.922727,,,,80
WASP-3 b,2.06,1.454,1.8468372,,,,223
WASP-31 b,0.478,1.537,3.405909,,,,400
WASP-32 b,3.6,1.18,2.71865,,,,
WASP-33 b,2.1,1.603,1.21986967,,,,116
WASP-34 b,0.59,1.22,4.3176782,,,,120
WASP-35 b,0.72,1.32,3.161575,,,,
WASP-36 b,2.279,1.269,1.5373653,,,,450
WASP-37 b,1.8,1.16,3.577471,,,,338
WASP-38 b,2.712,1.079,6.871815,,,,110
WASP-39 b,0.28,1.27,4.055259,,,,230
WASP-4 b,1.237,1.395,1.33823187,,,,300
WASP-41 b,0.94,1.18,3.052404,1244,,,180
WASP-41 c,3.18,,421,241,,,180
WASP-42 b,0.5,1.08,4.9816872,,,,
WASP-43 b,2.034,1.036,0.81347753,,,"H2O, O I, C",
WASP-44 b,0.889,1.14,2.4238039,,,,
WASP-45 b,1.007,1.16,3.1260876,,,,
WASP-46 b,2.101,1.31,1.43037,,,,
WASP-47 b,1.13,1.134,4.1591409,1275,,,200
WASP-47 c,1.24,,572,247,,,200
WASP-47 d,0.027,0.32,9.03079,,,,200
WASP-47 e,0.028,0.1621,0.789593,,,,200
WASP-48 b,0.98,1.67,2.143634,,,,
WASP-49 b,0.378,1.115,2.7817387,,,,
WASP-5 b,1.637,1.171,1.6284246,,,,297
WASP-50 b,1.437,1.138,1.9550959,,,,230
WASP-52 b,0.46,1.27,1.7497798,,,,140
WASP-54 b,0.6,1.4,3.7,,,,
WASP-55 b,0.57,1.3,4.465633,1290,,,330
WASP-56 b,0.6,1.2,4.6,,,,
WASP-57 b,0.8,1.1,2.8,,,,
WASP-58 b,0.89,1.37,5.01718,,,,300
WASP-59 b,0.7,0.9,7.9,,,,125
WASP-6 b,0.503,1.224,3.361006,,,,307
WASP-60 b,0.5,0.9,4.3,,,,400
WASP-61 b,2.06,1.24,3.8559,,,,480
WASP-62 b,0.57,1.39,4.411953,,,,160
WASP-63 b,0.38,1.43,4.37809,,,,330
WASP-64 b,1.2,0.7,1.6,,,,
WASP-65 b,1.55,1.112,2.3114243,,,,310
WASP-66 b,2.32,1.39,4.086052,,,,380
WASP-67 b,0.42,1.4,4.61442,,,,225
WASP-68 b,0.95,1.24,5.084298,,,,
WASP-69 b,0.26,1.057,3.8681382,963,,,50
WASP-7 b,0.96,1.33,4.9546416,,,,140
WASP-70A b,0.59,1.164,3.7130203,1387,,,245
WASP-71 b,2.258,1.5,2.9036747,,,,200
WASP-72 b,1.461,1.27,2.2167421,,,,
WASP-73 b,1.88,1.16,4.08722,1790,,,
WASP-74 b,0.95,1.56,2.13775,1910,,,120
WASP-75 b,1.07,1.27,2.484193,,,,260
WASP-76 b,0.92,1.83,1.809886,2190,,,120
WASP-77A b,1.76,1.21,1.3600309,,,,
WASP-78 b,1.16,1.75,2.17517656,,,,550
WASP-79 b,0.9,1.7,3.6623817,,,,240
WASP-8 b,2.244,1.038,8.158715,,,,87
WASP-80 b,0.554,0.952,3.0678504,,,,60
WASP-82 b,1.24,1.67,2.705782,2190,,,200
WASP-83 b,0.3,1.04,4.071252,1120,,,300
WASP-84 b,0.694,0.942,8.5234865,797,,,120
WASP-85 b,1.265,1.24,2.6556777,1452,,,
WASP-87A b,2.18,1.385,1.682795,2322,,,240
WASP-88 b,0.56,1.7,4.954,1775,,,
WASP-89 b,5.9,1.04,3.3564227,1120,,,
WASP-90 b,0.63,1.63,3.916243,1840,,,340
WASP-94 A b,0.452,1.72,3.9501907,1604,,,
WASP-94 B b,0.618,,2.00839,,,,
WASP-95 b,1.13,1.21,2.184673,1570,,,
WASP-96 b,0.48,1.2,3.4252602,1285,,,
WASP-97 b,1.32,1.13,2.07276,1555,,,
WASP-98 b,0.83,1.1,2.96264,1180,,,
WASP-99 b,2.78,1.1,5.75251,1480,,,
WD 0806-661B b,8,,,,,,19.2
WD 1145+017 b,0.0000021,,0.1875,,,,174
WISE 0458+6434 b,13,1.009,25800,,590,"CH4, H2O",10.5
WISE 1217+16A b,22,0.96,47400,,450,"CH4, H2O, H2",10
WISE 1711+3500 b,18,,125000,,460,,19
WISE J0720-0846,62,,1388,,,,6.8
WTS-1 b,4.01,1.49,3.352059,,,,3200
WTS-2 b,1.12,1.3,1.0187074,2000,,,1000
Wolf 1061 b,0.00428,,4.8876,,,,4.29
Wolf 1061 c,0.0134,,17.867,,,,4.29
Wolf 1061 d,0.0164,,67.27,,,,4.29
XO-1 b,0.9,1.184,3.9415128,,,"O I, C",200
XO-2N b,0.62,0.973,2.615838,,,"K, Na",149
XO-2S b,0.259,,18.157,,,,149
XO-2S c,1.37,,120.8,,,,149
XO-3 b,11.79,1.217,3.1915239,,,,260
XO-4 b,1.615,1.317,4.12473,1641,,,293
XO-5 b,1.077,1.03,4.1877537,,,,255
YBP1194 b,0.34,,6.958,,,,
YBP1514 b,0.4,,5.118,,,,
alf Ari b,1.8,,380.8,,,,20.2
alf Cen B b,0.0036,,3.2357,,,,1.3
beta Cir b,56,,,,2084,,30.56
beta Cnc b,7.8,,605.2,,,,92.99
beta Pic b,7,1.65,7890,,,H,19.3
beta Umi b,6.1,,522.3,,,,40.14
eps CrB b,6.7,,417.9,,,,67.9
eps Eridani b,1.55,,2502,,,,3.2
eps Tau b,7.6,,594.9,,,,45
eta Cet b,2.55,,403.5,,,,38
eta Cet c,3.32,,751.9,,,,38
gamma 1 Leo b,8.78,,428.5,,,,38.5
gamma Cephei b,1.85,,903.3,,,,13.79
kappa And b,14,1.2,,,1900,,51.6
kappa CrB b,1.6,,1251,,,,31.1
ksi Aql b,2.8,,136.75,,,,62.7
mu Ara b,1.676,,643.25,,,,15.3
mu Ara c,0.03321,,9.6386,,,,15.3
mu Ara d,0.5219,,310.55,,,,15.3
mu Ara e,1.814,,4205.8,,,,15.3
mu Leo b,2.4,,357.8,,,,38.05
nu Oph b,24,,530.32,,,,46.8
nu Oph c,27,,3186,,,,46.8
ome Ser b,1.7,,277.02,,,,80.6
omi CrB b,1.5,,187.3,,,,84
omi UMa b,4.1,,1630,,,,56.3
sig Per b,6.5,,579.8,,,,108.3
tau Boo b,4.13,1.06,3.31249,,,H2O,15.6
tau Gem b,20.6,,305.5,,,,98.4
ups And b,0.62,,4.61711,,,,13.47
ups And c,1.8,,240.937,,,,13.47
ups And d,10.19,,1281.439,,,,13.47
ups And e,1.059,,3848.86,,,,13.47
